2019-09-11 18:42:58 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/ifsc-code/ --> returned OK --> Response code-200
2019-09-11 18:43:00 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/calculators/ --> returned OK --> Response code-200
2019-09-11 18:43:04 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card-eligibility/ --> returned OK --> Response code-200
2019-09-11 18:43:07 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/home-loan-rejection/ --> returned OK --> Response code-200
2019-09-11 18:43:10 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/personal-loan-rejection/ --> returned OK --> Response code-200
2019-09-11 18:43:14 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card-rejection/ --> returned OK --> Response code-200
2019-09-11 18:43:17 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card-status/ --> returned OK --> Response code-200
2019-09-11 18:43:20 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/business-loan-interest-rates/ --> returned OK --> Response code-200
2019-09-11 18:43:24 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/personal-loan-status/ --> returned OK --> Response code-200
2019-09-11 18:43:27 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/home-loan-status/ --> returned OK --> Response code-200
2019-09-11 18:43:29 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/personal-loan-emi-calculator-online/ --> returned OK --> Response code-200
2019-09-11 18:43:31 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/home-loan-emi-calculator-online/ --> returned OK --> Response code-200
2019-09-11 18:43:34 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/nri-home-loan/ --> returned OK --> Response code-200
2019-09-11 18:43:37 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/microfinance/ --> returned OK --> Response code-200
2019-09-11 18:43:40 INFO  TestBase:71 - URL: https://qa-cmol1.creditmantri.in/credit-card-balance-transfer/ --> returned OK --> Response code-200
